fea,imp,version
y_clust_avg,-1.7625086905430745,8
slope_clust_norm,-1.3343280366423707,8
y_id_std,-0.8595783555698256,8
y_id_mean,-0.7990169478139635,8
y_id_max,-0.6672424446813113,8
y_id_min,-0.6621097599032434,8
y_clust_avg_norm,-0.6133879719622707,8
y_id_sum,-0.5672099050785452,8
ratio_clust_to_lag_5,-0.3500978732934021,8
ratio_hw_to_lag_3,-0.2682369372289431,8
next_clust,-0.1936817795503393,8
slope_y,-0.1746667029871391,8
d1_y_hw,-0.1722781094835306,8
y_median_div_sum,-0.1489218068766549,8
next_hw,-0.13022840009770392,8
ratio_hw_to_lag_5,-0.12637772243444292,8
y_hw,-0.10329144506988452,8
y_mean_div_median,-0.0998130459576215,8
y_lag_3_div_lag_4,-0.056727218408988436,8
y_lag_5,-0.05323469517569747,8
cluster_norm,-0.022313370192829574,8
ph_level2,-0.016204881632351408,8
cluster,-0.015958133061597834,8
uom,-0.008395961689834645,8
cases,-0.004249891853825834,8
y_mean_div_sum,0.0,8
customer,0.0,8
month_sin,0.0,8
ph_level3,0.0,8
year,0.0,8
month_cos,0.0,8
item_type,0.01981014357791763,8
ratio_clust_to_lag_3,0.03277603893288372,8
material,0.04358876037775398,8
next_clust_norm,0.06720221904657459,8
sliding_y_std,0.07985780341545036,8
price,0.13262938745341593,8
y_lag_3_div_lag_5,0.16047658023536898,8
prev_hw,0.18896293689749138,8
ratio_hw_to_avg,0.24321524576468853,8
ratio_hw_to_lag_4,0.27163652907664343,8
sliding_y_max,0.34830479582882373,8
id,0.43375135751535815,8
sliding_y_mean,0.5412722624668049,8
sliding_y_sum,0.5419527699783752,8
sliding_y_min,0.5817531459272559,8
ratio_clust_to_lag_4,0.6771122553105973,8
y_lag_4_div_lag_5,0.6901123999821543,8
y_lag_3,0.7334281515845774,8
prev_clust_norm,0.7736966934133989,8
slope_clust,0.78362955910249,8
prev_clust,0.8289121345500113,8
sliding_y_median,1.6705535465785204,8
slope_hw,1.9464090924159476,8
y_lag_4,3.963668245345652,8
